District,Code,Incumbent Party,Incumbent Name,,Pronunciation Guide,,Year First Elected,Birth Year,Gender,Race or Ethnicity,Religious Affiliation,LGBTQ+ Status,Pre-2022 Incumbent,2020 President,,2016 President,,2022 House,,,,2023-2032 House Specials,,,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race (2018-2022 ACS),,,,,,Median Household Income by Race (2018-2022 ACS),,,,Educational Attainment by Race for Adults Ages 25+ (2018-2022 ACS) ,,,,,,Sort by Full District Name,2020 President,,,2016 President,,,2022 House,,,,,,2023-2032 House Special Elections,,,,,,Total Population (2020 Census),,,,,,,Voting Age Population (2020 Census),,,,,,,Citizen Voting Age Population (2018-2022 ACS),,,,,,,Educational Attainment for Adults 25+ (2018-2022 ACS),,,
,,,First,Last,Phonetic,International Phonetic Alphabet,,,,,,,,Joe Biden,Donald Trump,Hillary Clinton,Donald Trump,Dem,Rep,Indie or Other Dem,Indie or Other Rep,Date,Dem,Rep,Indie or Other Dem,Indie or Other Rep,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Median Household Income,Income Rank,White Only Income,White Only Income Rank,Bachelor's Degree or Higher,BA Rank,White Only Bachelor's Degree,White Only BA Rank,Non-College White Adult Citizens,Non-College White Rank,,Total,Joe Biden,Donald Trump,Total,Hillary Clinton,Donald Trump,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,True Indie or 3rd Party,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,Independent or 3rd Party,Total Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Population Ages 25+,Bachelor's Degree or Higher,Total White Population Ages 25+,White Bachelor's Degree
Nebraska's 3rd,NE-03,Republican,Adrian,Smith,(EY-dree-in SMITH),/'eɪ.ɾɹi.ɪn smɪθ/,2006,1970,Man,White,Christian - Evangelical Protestant - Free Church,No,Re-elected,23.1,74.9,20.6,74.2,15.8,78.3,0,0,,,,,,84.5,10.0,1.6,1.1,2.8,0.2,88.6,7.4,1.3,0.8,1.8,0.1,"$61,627",348,"$62,747",395,23.8 ,362 ,25.4 ,390 ,66.1,37 ,236,"322,332","74,388","241,459","291,997","60,099","216,725","220,552","34,836","172,700",0,0,"13,016",,,,,,,"653,835","532,175","79,943","13,097","7,544","22,136","1,297","496,075","419,048","49,553","7,803","5,269","14,009",807,"477,680","423,250","35,250","6,100","3,615","8,755",245,"438,443","104,382","378,077","96,159"
New Hampshire's 1st,NH-01,Democratic,Chris,Pappas,(KRIS PAP-uhs),/kɹɪs 'pæ.pəs/,2018,1980,Man,White,Christian - Eastern Orthodox,Gay,Re-elected,52.2,46.2,45.9,47.5,54.0,45.9,0,0,,,,,,89.0,3.5,2.1,3.0,1.6,0.1,92.0,2.9,1.7,2.5,0.6,0.0,"$91,412",92,"$92,615",136,39.6 ,117 ,40.0 ,182 ,55.2,95 ,241,"403,198","210,310","186,410","372,167","170,707","176,898","309,962","167,391","142,229",0,0,342,,,,,,,"688,764","601,086","29,821","17,875","22,820","11,912",915,"560,816","499,334","19,760","11,525","16,617","9,099",624,"547,155","503,600","16,100","9,565","13,430","3,485",175,"495,597","196,400","446,170","178,420"
New Hampshire's 2nd,NH-02,Democratic,Annie,Kuster,(AN-ee KUHS-ter),/'æ.ni 'kʌs.ɾəɹ/,2012,1956,Woman,White,Christian - Protestant - Episcopalian,No,Re-elected,53.6,44.7,47.8,45.4,55.8,44.1,0,0,,,,,,88.7,3.6,1.8,3.1,1.8,0.1,92.3,3.2,1.3,2.3,0.8,0.0,"$88,494",104,"$89,682",160,38.5 ,132 ,38.2 ,202 ,57.0,85 ,242,"400,635","214,627","179,250","372,129","177,819","168,892","307,584","171,636","135,579",0,0,369,,,,,,,"688,765","599,563","29,633","15,123","24,041","13,556",877,"559,864","496,417","20,040","10,247","17,205","10,205",591,"546,305","504,330","17,465","7,210","12,330","4,125",90,"501,756","193,048","454,631","173,764"
New Jersey's 1st,NJ-01,Democratic,Donald,Norcross,(DAHN-uhld NAWR-kraws),/'dɑ.nəld 'nɔɹ.kɹɔs/,2014 Special,1958,Man,White,Christian - Protestant - Lutheran,No,Re-elected,61.5,37.1,60.0,36.7,62.3,35.2,0,0,,,,,,63.1,12.6,17.8,6.0,1.6,0.2,67.5,10.6,16.9,4.4,0.4,0.0,"$82,670",140,"$93,798",127,34.1 ,183 ,37.8 ,209 ,42.0,216 ,243,"402,495","247,693","149,375","339,091","203,453","124,314","224,115","139,559","78,794",0,0,"5,762",,,,,,,"773,585","459,821","115,580","149,917","48,631","13,847","1,402","604,707","381,282","76,390","107,906","36,302","9,840",979,"572,755","386,680","60,970","96,610","25,185","2,520",80,"532,556","181,640","348,993","131,856"
New Jersey's 2nd,NJ-02,Republican,Jeff,Van Drew,(JEF van-JROO),/dʒɛf væn.'dʒɹu/,2018,1953,Man,White,Christian - Roman Catholic,No,Re-elected,46.9,51.8,44.8,51.9,40.0,58.8,0,0,,,,,,67.4,14.8,12.6,4.3,2.0,0.2,72.5,11.3,11.9,3.5,0.6,0.0,"$80,850",156,"$89,547",161,29.3 ,271 ,33.4 ,272 ,48.3,156 ,244,"410,535","192,481","212,664","342,600","153,433","177,679","236,582","94,522","139,217",0,0,"2,843",,,,,,,"773,584","494,194","134,110","106,165","35,010","16,672","1,509","616,758","415,583","91,163","77,944","26,215","12,116","1,032","582,390","422,135","65,895","69,275","20,325","3,565",200,"551,055","161,331","386,854","129,049"
New Jersey's 3rd,NJ-03,Vacant (D),,,,,,,,,,,Re-elected,56.3,42.3,53.0,43.5,55.4,43.6,0,0,,,,,,65.9,9.8,14.2,9.2,1.4,0.1,70.8,8.3,13.4,6.9,0.4,0.0,"$106,253",40,"$108,094",59,45.2 ,73 ,47.0 ,114 ,37.5,259 ,245,"440,666","248,284","186,603","369,116","195,590","160,578","271,483","150,498","118,415",0,0,"2,570",,,,,,,"773,586","491,248","87,333","113,155","75,966","11,462","1,205","614,191","404,599","60,160","87,116","56,304","8,355",861,"577,075","408,465","47,620","77,265","40,045","2,215",120,"549,516","248,414","372,422","174,963"
New Jersey's 4th,NJ-04,Republican,Chris,Smith,(KRIS SMITH),/kɹɪs smɪθ/,1980,1953,Man,White,Christian - Roman Catholic,No,Re-elected,38.1,60.6,34.5,62.4,31.3,66.9,0,0,,,,,,82.0,9.1,4.2,3.3,1.1,0.1,86.2,7.1,3.7,2.6,0.3,0.0,"$90,090",97,"$90,708",152,39.0 ,127 ,40.0 ,181 ,51.7,124 ,246,"427,724","163,106","259,059","348,975","120,268","217,894","259,161","81,233","173,288",0,0,"4,640",,,,,,,"773,586","622,261","79,615","35,144","25,309","9,370",710,"589,130","482,913","53,575","24,859","19,149","6,746",499,"563,900","486,045","40,025","21,010","14,585","1,605",85,"524,727","204,764","440,005","175,969"
New Jersey's 5th,NJ-05,Democratic,Josh,Gottheimer,(JAHSH GAHT-hahy-mer),/dʒɑʃ 'gɑt.ˌhaɪ.məɹ/,2016,1975,Man,White,Jewish,No,Re-elected,55.6,43.2,52.2,44.5,54.7,44.3,0,0,,,,,,61.2,14.9,7.0,16.7,1.1,0.1,66.6,13.4,6.3,13.3,0.4,0.0,"$124,761",16,"$129,967",22,53.5 ,27 ,54.3 ,55 ,30.4,301 ,247,"432,269","240,209","186,611","364,588","190,410","162,315","266,142","145,559","117,873",0,0,"2,710",,,,,,,"773,585","457,907","125,578","56,183","133,911","9,046","1,034","610,580","373,723","91,062","42,867","101,764","6,469",804,"550,720","366,585","73,630","34,565","73,470","2,165",130,"545,302","291,569","334,363","181,583"
New Jersey's 6th,NJ-06,Democratic,Frank,Pallone,(FREYNK puh-LOHN),/fɹeɪŋk pə.'loʊn/,1988,1951,Man,White,Christian - Roman Catholic,No,Re-elected,59.0,39.7,57.9,38.9,57.4,41.0,0,0,,,,,,45.2,22.1,12.7,19.7,1.4,0.1,54.1,18.5,13.4,13.3,0.4,0.0,"$100,440",56,"$106,264",64,41.5 ,97 ,43.3 ,145 ,30.7,299 ,248,"335,439","197,825","133,268","290,786","168,248","113,095","185,131","106,238","75,839",0,0,"3,054",,,,,,,"773,586","323,138","189,896","102,923","157,258","12,083","1,179","611,210","276,011","134,818","77,733","120,399","8,782",912,"525,830","284,705","97,455","70,610","69,705","1,890",165,"528,259","219,383","256,109","110,952"
New Jersey's 7th,NJ-07,Republican,Tom,Kean,(TAHM KEYN),/tɑm keɪn/,2022,1968,Man,White,Christian - Protestant - Episcopalian,No,Lost in general (Tom Malinowski),51.1,47.3,45.2,50.8,48.5,51.3,0,0,,,,,,73.5,10.8,5.9,8.7,1.1,0.1,78.6,8.8,5.6,6.6,0.3,0.0,"$131,419",10,"$130,259",18,53.6 ,24 ,54.6 ,51 ,35.7,268 ,249,"461,600","235,951","218,151","388,097","175,248","197,287","310,632","150,701","159,392",0,0,539,,,,,,,"773,584","547,950","94,192","48,691","74,242","8,849",863,"609,441","447,713","65,743","35,818","53,000","6,405",599,"572,285","449,630","50,345","31,960","37,825","1,785",140,"548,467","294,164","409,974","223,681"
New Jersey's 8th,NJ-08,Democratic,Rob,Menendez,(RAHB muh-NEN-dez),/ɹɑb mə.'nɛn.dɛz/,2022,1985,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Open Seat - Retired (Albio Sires),72.1,26.8,75.7,21.4,73.5,23.4,0,0,,,,,,26.8,48.9,11.2,13.3,2.2,0.2,34.1,46.6,10.5,8.2,0.3,0.1,"$78,229",181,"$106,965",61,39.0 ,128 ,57.8 ,41 ,14.4,394 ,250,"241,039","173,894","64,633","216,186","163,555","46,370","106,663","78,382","24,957",0,0,"3,324",,,,,,,"773,584","192,335","394,709","90,811","99,570","17,962","1,738","611,790","164,003","299,470","68,409","81,566","13,668","1,364","431,340","147,025","201,115","45,130","35,430","1,330",250,"537,632","209,699","149,249","86,256"
New Jersey's 9th,NJ-09,Vacant (D),,,,,,,,,,,Re-elected,58.9,40.0,60.7,36.7,54.9,43.6,0,0,,,,,,40.9,39.1,10.9,10.1,1.9,0.2,47.0,34.9,9.7,8.1,0.2,0.0,"$77,469",183,"$89,536",162,32.9 ,201 ,40.4 ,177 ,28.0,316 ,251,"315,019","185,603","126,054","271,833","164,996","99,663","150,080","82,457","65,365",0,0,"2,258",,,,,,,"773,584","295,557","321,423","88,057","77,759","15,691","1,314","601,128","245,792","234,804","65,585","60,860","11,499",959,"484,465","227,630","169,040","46,785","39,020","1,155",65,"526,040","173,035","220,261","88,904"
New Jersey's 10th,NJ-10,Democratic,LaMonica,McIver,(luh-MAH-ni-kuh muhk-AHY-ver),/lə.'mɑ.nɪ.kə mək.'aɪ.vəɹ/,2024 Special,1986,Woman,Black,,No,Re-elected,80.6,18.6,81.7,16.3,77.6,20.0,0,0,18-Sep-24,,,,,20.3,20.1,52.7,7.5,1.5,0.2,23.7,16.9,52.5,6.0,0.5,0.1,"$67,939",268,"$99,251",91,31.5 ,224 ,50.1 ,82 ,11.8,411 ,252,"290,354","234,076","53,928","265,683","217,131","43,223","129,839","100,710","25,993",0,0,"3,136",,,,,,,"773,584","145,060","164,996","413,874","55,759","11,889","1,514","597,968","121,366","120,022","315,201","44,871","8,731","1,171","501,590","118,775","84,975","263,530","30,290","2,655",280,"516,730","162,850","113,002","56,559"
New Jersey's 11th,NJ-11,Democratic,Mikie,Sherrill,(MAHY-kee SHAIR-uhl),/'maɪ.ki 'ʃɛ.ɹəl/,2018,1972,Woman,White,Christian - Roman Catholic,No,Re-elected,57.8,40.9,53.8,43.0,59.0,40.2,0,0,,,,,,64.0,15.2,7.8,12.4,1.0,0.1,70.5,12.7,6.6,9.6,0.3,0.0,"$128,233",13,"$132,226",15,58.1 ,18 ,61.0 ,30 ,27.5,322 ,253,"437,161","252,859","178,835","369,254","198,538","158,881","273,779","161,436","109,952",0,0,"2,391",,,,,,,"773,584","476,809","127,683","62,124","103,444","8,804",906,"609,524","390,025","92,745","47,561","75,748","6,346",669,"552,730","389,660","70,355","36,740","53,275","1,430",80,"536,639","311,576","353,514","215,621"
New Jersey's 12th,NJ-12,Democratic,Bonnie,Watson Coleman,(BAH-nee WAHT-suhn KOHL-muhn),/'bɑ.ni 'wɑt.sən 'koʊl.mən/,2014,1945,Woman,Black,Christian - Protestant - Baptist,No,Re-elected,66.6,32.1,64.1,32.7,63.1,35.9,0,0,,,,,,43.5,19.2,17.7,19.5,1.4,0.2,52.5,13.1,18.2,15.6,0.4,0.0,"$109,146",34,"$108,302",58,48.5 ,49 ,52.4 ,69 ,25.0,339 ,254,"355,052","236,355","114,094","307,837","197,408","100,634","198,398","125,127","71,175",0,0,"2,096",,,,,,,"773,584","308,278","166,222","139,348","160,007","12,190","1,245","604,883","263,386","116,047","106,823","117,700","8,700",953,"505,880","265,755","66,380","92,070","78,725","1,955",150,"530,080","257,143","246,863","129,301"
New Mexico's 1st,NM-01,Democratic,Melanie,Stansbury,(MEL-uh-nee STANZ-bur-ee),/'mɛ.lə.ni 'stænz.bə.ɹi/,2021 Special,1979,Woman,White,Unknown/Refused to Say,No,Re-elected,55.9,41.5,47.4,39.5,55.7,44.2,0,0,,,,,,49.4,37.6,3.7,3.9,7.2,0.3,51.1,38.5,2.9,2.5,4.7,0.1,"$66,579",287,"$76,247",253,38.0 ,137 ,47.2 ,111 ,27.0,325 ,255,"359,557","201,158","149,225","311,238","147,409","122,842","280,671","156,462","124,151",0,0,58,,,,,,,"705,832","321,344","288,643","29,771","29,953","56,141","2,555","564,033","278,556","212,166","20,639","22,125","40,712","1,748","540,085","276,055","208,075","15,505","13,700","25,445",290,"504,463","191,604","255,317","120,446"
New Mexico's 2nd,NM-02,Democratic,Gabe,Vasquez,(GEYB VAHS-kuhs),/geɪb 'vɑs.kəs/,2022,1984,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Lost in general (Yvette Herrell),51.9,46.1,47.6,41.5,50.3,49.6,0,0,,,,,,33.3,56.1,2.8,1.8,7.9,0.3,35.0,55.3,2.4,1.0,6.1,0.0,"$53,550",411,"$62,865",394,22.8 ,383 ,34.3 ,260 ,23.0,352 ,256,"264,675","137,449","121,889","224,522","106,832","93,220","192,673","96,986","95,636",0,0,51,,,,,,,"705,846","207,762","423,032","22,640","13,380","58,605","1,961","534,358","177,682","299,999","15,151","9,810","42,357","1,383","491,540","172,100","272,055","11,620","4,950","29,930",240,"453,351","103,307","152,701","52,368"
New Mexico's 3rd,NM-03,Democratic,Teresa,Leger Fernandez,(tuh-RES-uh LEJ-er fer-NAHN-dez) [Rs are trilled in Teresa and Fernandez],/tə'rɛ.sə 'lɛ.dʒəɹ fɛr.'nɑn.dɛz/,2020,1959,Woman,Hispanic,Christian - Roman Catholic,No,Re-elected,54.4,43.6,49.9,39.5,58.2,41.8,0,0,,,,,,38.4,39.7,2.0,1.7,19.5,0.2,40.3,38.9,1.6,0.9,18.2,0.1,"$58,790",375,"$71,891",296,25.6 ,331 ,41.8 ,159 ,23.5,351 ,257,"299,733","163,007","130,780","262,559","130,993","103,605","230,782","134,217","96,565",0,0,0,,,,,,,"705,844","243,846","299,136","15,998","12,664","148,869","1,496","540,598","207,824","214,599","10,632","9,287","105,408","1,073","506,470","203,945","196,840","8,045","4,380","92,420",415,"476,094","121,993","187,044","78,119"
Nevada's 1st,NV-01,Democratic,Dina,Titus,(DEE-nuh TAHY-tuhs),/'di.nə 'taɪ.ɾəs/,"2012, 2008-2010",1950,Woman,White,Christian - Eastern Orthodox,No,Re-elected,53.2,44.7,52.0,42.0,51.6,46.0,0,0,,,,,,43.9,32.2,11.7,10.4,3.0,1.4,52.1,25.7,10.7,9.1,1.1,0.6,"$63,781",322,"$73,814",279,24.1 ,355 ,30.8 ,310 ,36.1,267 ,237,"324,286","172,621","144,973","262,854","136,793","110,346","224,349","115,700","103,115",0,0,"5,534",,,,,,,"775,836","307,272","279,804","101,089","79,837","23,651","12,572","599,975","263,524","193,093","70,437","62,414","17,822","8,557","503,350","262,310","129,485","53,660","45,580","5,455","2,930","522,443","125,841","246,043","75,736"
Nevada's 2nd,NV-02,Republican,Mark,Amodei,(MAHRK AM-uh-dey),/mɑɹk 'æ.mə.deɪ/,2011 Special,1958,Man,White,Christian - Protestant,No,Re-elected,43.1,54.1,39.2,52.5,37.8,59.7,0,0,,,,,,66.8,19.8,2.8,6.0,4.5,0.9,73.5,16.2,2.6,4.1,2.7,0.4,"$79,687",166,"$81,288",215,28.2 ,284 ,31.8 ,299 ,50.1,140 ,238,"401,970","173,063","217,348","333,877","130,909","175,340","310,498","117,371","185,467",0,0,"7,660",,,,,,,"776,235","487,839","179,638","24,723","48,322","38,061","8,341","611,030","408,010","120,841","17,182","36,406","27,546","5,473","567,320","416,995","92,065","14,545","23,470","15,385","2,240","546,284","153,854","380,749","121,184"
Nevada's 3rd,NV-03,Democratic,Susie,Lee,(SOO-zee LEE),/'su.zi li/,2018,1966,Woman,White,Christian - Roman Catholic,No,Re-elected,52.4,45.7,50.5,43.8,52.0,48.0,0,0,,,,,,47.1,18.8,11.3,20.8,2.3,2.0,51.4,17.7,11.2,16.9,0.9,0.8,"$75,550",192,"$81,612",211,33.3 ,194 ,37.5 ,212 ,32.1,292 ,239,"363,064","190,167","166,069","275,655","139,314","120,658","252,169","131,086","121,083",0,0,0,,,,,,,"776,062","340,837","164,168","98,106","164,020","18,584","18,201","615,841","290,359","115,953","69,428","128,321","14,034","12,016","556,570","285,855","98,280","62,200","93,815","5,110","4,520","561,921","187,287","273,204","102,342"
Nevada's 4th,NV-04,Democratic,Steven,Horsford,(STEE-vuhn HAWRS-ferd),/'sti.vən 'hɔɹs.fɜɹd/,"2018, 2012-2014",1973,Man,Black - Trinidadian,Christian - Protestant - Baptist,No,Re-elected,53.0,44.8,52.3,41.8,52.4,47.6,0,0,,,,,,41.6,30.6,18.0,7.9,3.2,1.5,47.3,25.4,18.0,6.2,1.5,0.9,"$70,338",243,"$76,018",256,20.0 ,417 ,25.4 ,391 ,35.2,275 ,240,"316,056","167,635","141,501","252,970","132,235","105,694","222,487","116,617","105,870",0,0,0,,,,,,,"776,481","289,370","267,296","150,071","61,357","25,465","13,419","586,480","243,758","179,509","105,783","46,185","18,677","8,775","523,035","247,140","132,595","94,180","32,270","7,930","4,595","523,839","105,021","229,243","58,248"
New York's 1st,NY-01,Republican,Nick,LaLota,(NIK luh-LOH-tuh),/nɪk lə.'loʊ.ɾə/,2022,1978,Man,White,Christian - Roman Catholic,No,Open Seat - Ran for governor and lost in general (Lee Zeldin),49.5,49.3,44.0,51.9,44.5,55.5,0,0,,,,,,74.3,13.4,5.5,5.8,1.3,0.1,80.5,9.7,4.8,4.5,0.4,0.0,"$126,171",14,"$132,154",16,46.8 ,61 ,49.6 ,86 ,40.5,229 ,258,"428,545","212,149","211,235","376,086","165,585","195,353","318,995","141,907","177,040",0,0,48,,,,,,,"776,971","556,131","120,450","46,020","48,048","11,424",824,"624,895","464,464","83,977","34,504","36,405","8,221",587,"583,385","469,440","56,375","28,030","26,300","2,100",50,"546,820","255,734","424,071","210,498"
New York's 2nd,NY-02,Republican,Andrew,Garbarino,(AN-jroo gahr-buh-REE-noh),/'æn.dʒɹu ˌgɑɹ.bə.'ɹi.noʊ/,2020,1984,Man,White,Christian - Roman Catholic,No,Re-elected,48.7,50.2,44.8,51.4,39.3,60.7,0,0,,,,,,59.5,24.8,11.6,3.9,1.8,0.1,66.5,19.1,10.7,3.0,0.5,0.0,"$113,994",31,"$116,601",41,31.6 ,222 ,36.3 ,229 ,42.4,212 ,259,"360,808","175,559","180,971","320,748","143,763","164,871","249,032","97,774","151,178",0,0,80,,,,,,,"776,971","433,649","215,177","96,418","31,963","15,721",963,"611,926","363,964","152,022","71,156","23,729","11,198",688,"555,390","369,485","105,985","59,480","16,665","2,830",220,"539,391","170,668","334,584","121,572"
New York's 3rd,NY-03,Democratic,Tom,Suozzi,(TAHM SWAH-zee),/tɑm 'swɑ.zi/,2024 Special; 2016-2022,1962,Man,White,Christian - Roman Catholic,No,Open Seat - Ran for governor and lost in primary (Tom Suozzi),53.6,45.4,50.8,45.7,46.2,53.7,0,0,13-Feb-24,53.9,45.9,,,58.3,12.8,4.5,23.6,0.8,0.1,65.7,10.6,3.9,19.3,0.3,0.0,"$129,730",12,"$132,569",13,51.5 ,31 ,53.2 ,64 ,30.7,298 ,260,"398,089","213,371","180,840","348,162","176,906","159,062","271,331","125,404","145,824",0,0,103,"172,809","93,182","79,290",,,337,"776,971","432,998","108,842","36,238","193,768","7,058",986,"621,744","362,345","79,497","28,217","147,038","5,144",781,"562,610","369,405","59,885","21,705","108,365","1,910",250,"556,818","286,851","336,736","179,272"
New York's 4th,NY-04,Republican,Anthony,D'Esposito,(AN-thuh-nee DEE-es-poh-ZEE-toh),/'æn.θə.ni 'diˌes.poʊ.'zi.ɾoʊ/,2022,1982,Man,Multiple: Hispanic - Puerto Rican/White,Christian - Roman Catholic,No,Open Seat - Retired (Kathleen Rice),56.8,42.2,54.3,42.2,48.2,51.8,0,0,,,,,,52.9,20.3,18.9,7.8,1.3,0.1,57.4,15.9,19.3,6.8,0.3,0.0,"$131,291",11,"$132,514",14,43.4 ,86 ,51.9 ,71 ,27.6,321 ,261,"394,490","223,911","166,541","352,242","191,158","148,717","271,560","130,871","140,622",0,0,67,,,,,,,"776,971","393,800","171,562","148,651","63,605","10,312","1,092","609,622","322,474","123,665","115,479","47,653","7,764",811,"553,230","317,380","87,890","107,045","37,735","1,665",195,"537,021","232,867","285,476","148,209"
New York's 5th,NY-05,Democratic,Gregory,Meeks,(GREG-ree MEEKS),/'gɹɛ.gɹi miks/,1998 Special,1953,Man,Black,Christian - Protestant - Methodist,No,Re-elected,80.9,18.5,83.6,14.4,75.1,24.8,0,0,,,,,,13.2,19.6,47.2,17.5,2.8,0.5,16.8,17.2,48.3,15.8,0.9,0.2,"$81,621",152,"$85,372",185,27.6 ,295 ,42.0 ,156 ,9.8,420 ,262,"267,734","216,606","49,624","239,268","200,133","34,377","138,987","104,396","34,407",0,0,184,,,,,,,"776,971","99,311","159,791","363,560","136,686","22,110","3,629","616,662","81,185","120,717","291,168","107,725","17,359","2,961","529,505","89,080","91,135","255,530","83,700","4,590","1,175","556,787","153,782","80,994","33,982"
New York's 6th,NY-06,Democratic,Grace,Meng,(GREYS MEYNG),/gɹeɪs meɪŋg/,2012,1975,Woman,Asian - Taiwanese,Christian - Protestant,No,Re-elected,64.7,34.4,68.7,28.1,63.9,36.0,0,0,,,,,,25.0,22.8,5.2,47.2,1.5,0.2,34.6,21.8,5.6,36.9,0.6,0.0,"$73,861",207,"$76,885",246,38.9 ,129 ,49.3 ,87 ,17.6,379 ,263,"240,384","155,614","82,742","204,730","140,553","57,437","133,114","85,049","47,935",0,0,130,,,,,,,"776,971","188,182","183,275","41,640","366,825","12,171","1,571","635,768","159,068","144,815","33,251","300,377","9,281","1,218","441,175","152,795","96,275","24,740","162,970","2,680",165,"560,778","218,192","154,132","76,023"
New York's 7th,NY-07,Democratic,Nydia,Velázquez,(NEY-dee-uh vuh-LAS-kes),/'ne.ɾi.ə və.'læs.kɛs/,1992,1953,Woman,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Re-elected,80.8,18.2,84.6,11.9,80.6,19.3,0,0,,,,,,37.0,34.1,14.8,15.5,2.4,0.3,41.0,32.4,14.2,11.5,0.5,0.0,"$88,141",108,"$115,466",42,42.9 ,90 ,61.5 ,29 ,15.8,385 ,264,"256,319","207,220","46,703","220,367","186,396","26,247","148,304","119,473","28,597",0,0,234,,,,,,,"776,971","281,488","274,246","117,393","117,005","18,925","2,457","629,171","232,661","214,713","93,335","97,474","14,997","1,964","489,035","200,455","158,460","69,215","56,275","2,240",110,"529,126","226,986","200,964","123,589"
New York's 8th,NY-08,Democratic,Hakeem,Jeffries,(hah-KEEM JEF-reez),/hɑ.'kim 'dʒɛf.ɹiz/,2012,1970,Man,Black,Christian - Protestant - Baptist,No,Re-elected,76.3,23.1,79.1,18.6,71.6,28.2,0,0,,,,,,28.8,15.8,48.2,10.0,1.4,0.2,30.0,14.6,47.2,7.6,0.4,0.0,"$58,631",377,"$71,082",308,33.6 ,186 ,53.9 ,59 ,13.8,399 ,265,"255,728","195,053","59,000","229,832","181,886","42,661","138,330","99,079","39,060",0,0,191,,,,,,,"776,972","214,213","130,271","380,048","77,283","11,220","1,648","610,827","175,685","96,355","294,524","60,783","8,635","1,283","526,225","157,945","77,010","248,330","39,905","2,145",130,"543,159","182,737","162,538","87,562"
New York's 9th,NY-09,Democratic,Yvette,Clarke,(ee-VET KLAHRK),/i.'vɛt klɑɹk/,2006,1964,Woman,Black - Jamaican,Christian - Protestant - African Methodist Episcopal,No,Re-elected,75.4,23.9,78.3,19.0,81.3,0,0,0,,,,,,30.7,11.2,48.7,10.6,1.3,0.2,33.7,10.0,48.3,7.4,0.4,0.0,"$71,800",230,"$81,330",213,36.7 ,150 ,55.0 ,49 ,15.2,387 ,266,"268,938","202,874","64,228","236,070","184,937","44,771","143,853","116,970",0,0,0,"26,883",,,,,,,"776,972","252,005","88,290","359,731","84,233","9,720","1,242","600,367","184,052","67,060","292,429","63,706","7,551",985,"490,555","165,520","49,165","236,710","36,215","2,065",125,"521,597","191,495","160,340","88,239"
New York's 10th,NY-10,Democratic,Dan,Goldman,(DAN GOHLD-muhn),/dæn 'goʊld.mən/,2022,1976,Man,White,Jewish,No,Multiple: Open Seat - Lost in primary (Mondaire Jones) and Ran in NY-12 after redistricting and won (Jerry Nadler),85.1,13.9,85.3,10.8,83.5,15.1,0,0,,,,,,49.7,18.4,8.3,23.7,1.6,0.3,56.2,17.4,7.7,17.9,0.4,0.1,"$103,988",46,"$156,597",7,60.7 ,11 ,81.0 ,2 ,10.7,416 ,267,"287,258","244,521","39,875","266,471","227,341","28,793","192,347","160,582","29,058",0,0,"2,707",,,,,,,"776,971","377,605","148,997","65,916","186,384","12,615","2,383","634,394","315,170","116,969","52,839","150,367","9,839","2,082","504,620","283,510","87,575","38,965","90,110","1,990",415,"538,303","326,963","278,439","225,481"
New York's 11th,NY-11,Republican,Nicole,Malliotakis,(ni-KOHL mal-ee-uh-TAH-kis),/nɪ.'koʊl ˌmæl.i.ə.'tɑ.kɪs/,2020,1980,Woman,Multiple: Hispanic - Cuban/White,Christian - Eastern Orthodox,No,Re-elected,45.7,53.4,44.4,52.3,38.2,61.7,0,0,,,,,,54.1,16.5,8.2,21.7,1.5,0.2,60.4,15.0,7.4,16.8,0.4,0.0,"$82,517",142,"$92,253",140,36.4 ,155 ,41.2 ,166 ,35.5,272 ,268,"294,599","134,699","157,207","247,539","110,014","129,447","188,099","71,801","115,992",0,0,306,,,,,,,"776,971","399,675","142,031","69,607","171,567","12,439","1,224","612,426","331,023","100,842","50,170","132,718","8,915",944,"515,680","311,295","77,120","38,025","86,640","1,970",40,"535,149","194,871","303,037","124,737"
