district_id,cvap,vintage_end_year,is_post_redistricting
PA-04,544580,2017,False
PA-05,557045,2017,False
PA-06,542345,2017,False
PA-07,538925,2017,False
PA-08,537910,2017,False
PA-09,547505,2017,False
PA-10,548010,2017,False
PA-11,550050,2017,False
PA-12,552120,2017,False
PA-13,508250,2017,False
PA-14,557935,2017,False
PA-15,545210,2017,False
PA-16,519960,2017,False
PA-17,540970,2017,False
PA-18,555325,2017,False
RI-01,384005,2017,False
RI-02,400485,2017,False
SC-01,562050,2017,False
SC-02,517730,2017,False
SC-03,515530,2017,False
SC-04,513025,2017,False
SC-05,520835,2017,False
SC-06,508710,2017,False
SC-07,535700,2017,False
SD-00,629705,2017,False
TN-01,555310,2017,False
TN-02,560650,2017,False
TN-03,557780,2017,False
TN-04,556715,2017,False
TN-05,544860,2017,False
TN-06,560615,2017,False
TN-07,551185,2017,False
TN-08,531355,2017,False
TN-09,498390,2017,False
TX-01,502440,2017,False
TX-02,493105,2017,False
TX-03,520550,2017,False
TX-04,521655,2017,False
TX-05,473885,2017,False
TX-06,510310,2017,False
TX-07,449940,2017,False
TX-08,546545,2017,False
TX-09,420265,2017,False
TX-10,529945,2017,False
TX-11,522525,2017,False
TX-12,534655,2017,False
TX-13,489220,2017,False
TX-14,512540,2017,False
TX-15,410240,2017,False
TX-16,440590,2017,False
TX-17,521120,2017,False
TX-18,454070,2017,False
TX-19,507115,2017,False
TX-20,509115,2017,False
TX-21,579790,2017,False
TX-22,526250,2017,False
TX-23,464860,2017,False
TX-24,487385,2017,False
TX-25,542660,2017,False
TX-26,545970,2017,False
TX-27,510190,2017,False
TX-28,409115,2017,False
TX-29,343170,2017,False
TX-30,458510,2017,False
TX-31,549970,2017,False
TX-32,485220,2017,False
TX-33,325255,2017,False
TX-34,413950,2017,False
TX-35,499480,2017,False
TX-36,501130,2017,False
UT-01,485360,2017,False
UT-02,490475,2017,False
UT-03,482385,2017,False
UT-04,484120,2017,False
VT-00,493440,2017,False
VA-01,562180,2017,False
VA-02,554880,2017,False
VA-03,553930,2017,False
VA-04,580125,2017,False
VA-05,568670,2017,False
VA-06,571795,2017,False
VA-07,555445,2017,False
VA-08,511785,2017,False
VA-09,570570,2017,False
VA-10,528570,2017,False
VA-11,493660,2017,False
WA-01,498955,2017,False
WA-02,522685,2017,False
WA-03,513325,2017,False
WA-04,425505,2017,False
WA-05,526300,2017,False
WA-06,535065,2017,False
WA-07,569175,2017,False
WA-08,498090,2017,False
WA-09,472790,2017,False
WA-10,519490,2017,False
WV-01,489825,2017,False
WV-02,485100,2017,False
WV-03,471575,2017,False
WI-01,532635,2017,False
WI-02,554195,2017,False
WI-03,558285,2017,False
WI-04,496680,2017,False
WI-05,549855,2017,False
WI-06,547240,2017,False
WI-07,546160,2017,False
WI-08,543470,2017,False
WY-00,432815,2017,False
AL-01,534355,2018,False
AL-02,516040,2018,False
AL-03,538125,2018,False
AL-04,511065,2018,False
AL-05,540510,2018,False
AL-06,519890,2018,False
AL-07,511120,2018,False
AK-00,530385,2018,False
AZ-01,549355,2018,False
AZ-02,539385,2018,False
AZ-03,475510,2018,False
AZ-04,587615,2018,False
AZ-05,557495,2018,False
AZ-06,565540,2018,False
AZ-07,416820,2018,False
AZ-08,576755,2018,False
AZ-09,544290,2018,False
AR-01,546405,2018,False
AR-02,563785,2018,False
AR-03,550215,2018,False
AR-04,535460,2018,False
CA-01,545540,2018,False
CA-02,526770,2018,False
CA-03,497300,2018,False
CA-04,555490,2018,False
CA-05,508535,2018,False
CA-06,490565,2018,False
CA-07,526910,2018,False
CA-08,476415,2018,False
CA-09,472835,2018,False
CA-10,467770,2018,False
CA-11,497585,2018,False
CA-12,565460,2018,False
CA-13,518345,2018,False
CA-14,499150,2018,False
CA-15,483610,2018,False
CA-16,402445,2018,False
CA-17,438345,2018,False
CA-18,481625,2018,False
CA-19,473610,2018,False
CA-20,429820,2018,False
CA-21,350035,2018,False
CA-22,470490,2018,False
CA-23,485640,2018,False
CA-24,505765,2018,False
CA-25,476030,2018,False
CA-26,468925,2018,False
CA-27,482730,2018,False
CA-28,501365,2018,False
CA-29,398510,2018,False
CA-30,524890,2018,False
CA-31,471085,2018,False
CA-32,450000,2018,False
CA-33,524125,2018,False
CA-34,385030,2018,False
CA-35,429875,2018,False
CA-36,488390,2018,False
CA-37,463815,2018,False
CA-38,468910,2018,False
CA-39,483900,2018,False
CA-40,327105,2018,False
CA-41,456205,2018,False
CA-42,517570,2018,False
CA-43,437170,2018,False
CA-44,388040,2018,False
CA-45,517975,2018,False
CA-46,378525,2018,False
CA-47,475460,2018,False
CA-48,525035,2018,False
CA-49,514955,2018,False
CA-50,500270,2018,False
CA-51,417975,2018,False
CA-52,547075,2018,False
CA-53,541635,2018,False
CO-01,585845,2018,False
CO-02,610705,2018,False
CO-03,551795,2018,False
CO-04,558105,2018,False
CO-05,578995,2018,False
CO-06,538735,2018,False
CO-07,555150,2018,False
CT-01,519205,2018,False
CT-02,549035,2018,False
CT-03,532825,2018,False
CT-04,484035,2018,False
CT-05,515880,2018,False
DE-00,704110,2018,False
DC-98,511190,2018,False
FL-01,579890,2018,False
FL-02,559345,2018,False
FL-03,555840,2018,False
FL-04,587140,2018,False
FL-05,536290,2018,False
FL-06,596695,2018,False
FL-07,567730,2018,False
FL-08,582790,2018,False
FL-09,575460,2018,False
FL-10,527540,2018,False
FL-11,619225,2018,False
FL-12,583295,2018,False
FL-13,567935,2018,False
FL-14,529480,2018,False
FL-15,556295,2018,False
FL-16,597650,2018,False
FL-17,587955,2018,False
FL-18,570700,2018,False
FL-19,592475,2018,False
FL-20,482355,2018,False
FL-21,530095,2018,False
FL-22,526185,2018,False
FL-23,505920,2018,False
FL-24,454085,2018,False
FL-25,434835,2018,False
FL-26,467185,2018,False
FL-27,449720,2018,False
GA-01,537000,2018,False
GA-02,500425,2018,False
GA-03,532685,2018,False
GA-04,500105,2018,False
GA-05,565670,2018,False
GA-06,480080,2018,False
GA-07,473990,2018,False
GA-08,517905,2018,False
GA-09,528555,2018,False
GA-10,547705,2018,False
GA-11,526835,2018,False
GA-12,531860,2018,False
GA-13,508990,2018,False
GA-14,502895,2018,False
HI-01,507265,2018,False
HI-02,509290,2018,False
ID-01,628835,2018,False
ID-02,563905,2018,False
IL-01,522125,2018,False
IL-02,509750,2018,False
IL-03,477695,2018,False
IL-04,380590,2018,False
IL-05,538570,2018,False
IL-06,518630,2018,False
IL-07,522275,2018,False
IL-08,448180,2018,False
IL-09,505675,2018,False
IL-10,462775,2018,False
IL-11,467645,2018,False
IL-12,533605,2018,False
IL-13,540955,2018,False
IL-14,518415,2018,False
IL-15,534530,2018,False
IL-16,522665,2018,False
IL-17,514980,2018,False
IL-18,536130,2018,False
IN-01,532400,2018,False
IN-02,521070,2018,False
IN-03,532785,2018,False
IN-04,551425,2018,False
IN-05,561065,2018,False
IN-06,546735,2018,False
IN-07,513115,2018,False
IN-08,549705,2018,False
IN-09,567925,2018,False
IA-01,579430,2018,False
IA-02,580155,2018,False
IA-03,589475,2018,False
IA-04,563610,2018,False
KS-01,503440,2018,False
KS-02,537830,2018,False
KS-03,523040,2018,False
KS-04,513255,2018,False
KY-01,548105,2018,False
KY-02,564800,2018,False
KY-03,551675,2018,False
KY-04,560085,2018,False
KY-05,543735,2018,False
KY-06,569800,2018,False
LA-01,588030,2018,False
LA-02,584180,2018,False
LA-03,574080,2018,False
LA-04,560940,2018,False
LA-05,561945,2018,False
LA-06,583595,2018,False
ME-01,538715,2018,False
ME-02,520830,2018,False
MD-01,558900,2018,False
MD-02,546280,2018,False
MD-03,546550,2018,False
MD-04,495550,2018,False
MD-05,550090,2018,False
MD-06,521985,2018,False
MD-07,532105,2018,False
MD-08,510925,2018,False
MA-01,560125,2018,False
